Starting station,hits in station 1,QDC/hits in station 1,L_x in station 1,L_y in station 1,hits in station 2,QDC/hits in station 2,L_x in station 2,L_y in station 2,hits in station 3,QDC/hits in station 3,L_x in station 3,L_y in station 3,hits in station 4,QDC/hits in station 4,L_x in station 4,L_y in station 4,hits in station 5,QDC/hits in station 5,L_x in station 5,L_y in station 5
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.18368825316429138,0.0244468436540366,0.025521612514495473
-1,0,0,0,0,0,0,0,0,0,0,0,0,5,0.695104455947876,0.04885679284465283,0.024426902786252924,5,1.0250106811523438,0.0491415179686534,0.025521612514495473
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.1676377952098846,0.0244468436540366,0.025521612514495473
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.02429339289665222,0.0244468436540366,0.025521612514495473
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.08907566964626312,0.0244468436540366,0.025521612514495473
2,11,0.918485245921395,0.1756349457463351,0.22475931944305216,46,1.0187670951304229,22.319500310364248,4.610391237639661,22,0.4855499538508328,6.3951542082209585,9.803182831192018,4,0.8010753989219666,0.025012747503698307,0.025010881078515013,5,0.6809295058250426,0.025012747503698307,0.05021346151682593
-1,6,-0.2683369616667429,0.05062764513422735,0.04913767438977601,4,-0.01903432607650757,0.025012747503698307,0.024426664391278052,4,1.332831621170044,0.025012747503698307,0.02469277278285631,5,0.9497547745704651,0.025012747503698307,0.05062376906931121,4,-0.013575583696365356,0.025012747503698307,0.02552065893458888
-1,5,0.9731104254722596,0.05113761870584099,0.024444961205659865,5,-0.09619098901748657,0.025614897630529043,0.04885303078883396,5,1.136748880147934,0.05062764513422735,0.02469277278285631,5,0.12182852029800414,0.05062764513422735,0.025010881078515013,4,0.24221213161945343,0.025012747503698307,0.02552065893458888
1,44,0.4224425662647594,3.9107714001774774,3.1346902810503856,48,0.9086771147946516,1.7410905272675166,2.5186352594328802,35,0.6050197873796735,8.615145450270653,5.0999950381034616,5,0.6764215946197509,0.05113761870584099,0.025010881078515013,5,0.2922704219818115,0.025614897630529043,0.05021346151682593
-1,5,0.7029518604278565,0.05113761870584099,0.024444961205659865,6,-0.29167069991429645,0.05062764513422735,0.04885303078883396,4,1.7649462521076202,0.025012747503698307,0.02469277278285631,4,0.6416126191616058,0.025012747503698307,0.025010881078515013,29,0.3285796734793433,12.590571328019857,5.90408156382793
2,0,0,0,0,0,0,0,0,6,-0.31859146555264795,0,0.011143534742355854,13,-0.11620917687049279,0.12487995063972512,0.2749704864082325,0,0,0,0
-1,5,0.38446120023727415,0.025013373338699907,0.04913606522369207,5,-0.03258085250854492,0.025013373338699907,0.04885094483280028,4,0.5320600718259811,0.025013373338699907,0.02469581231880369,6,2.225263516108195,0.04944024987602269,0.05113476869964728,6,-0.4104729692141215,0.04944024987602269,0.05062174271201769
-1,5,0.1649010419845581,0.04944024987602269,0.024441206484794975,4,0.9822841882705688,0.025013373338699907,0.024427856366152412,5,0.2589198112487793,0.025013373338699907,0.050213610513687,5,-0.06763017177581787,0.025013373338699907,0.05113476869964728,4,0.9200110137462616,0.025013373338699907,0.025009540106772477
-1,4,0.13445937633514404,0.025013373338699907,0.025519705354689393,5,0.7544882297515869,0.025013373338699907,0.04943548931312591,4,1.0680864751338959,0.025013373338699907,0.024445020804407136,4,0.15281720459461212,0.025013373338699907,0.02501049368667907,4,0.259487509727478,0.025013373338699907,0.025520658934595986
-1,4,-0.038681596517562866,0.024429737497328574,0.025519705354689393,5,0.23361732959747314,0.04885661403465136,0.025012400846478045,4,0.9889455884695053,0.024426876537322784,0.024445020804407136,4,0.14582379162311554,0.024426876537322784,0.02501049368667907,4,0.9383281171321869,0.024426876537322784,0.025520658934595986
-1,4,0.1278773695230484,0.024426876537322784,0.024694858738897096,5,1.6765906691551207,0.024426876537322784,0.04885094483280028,4,1.0326087325811386,0.024426876537322784,0.02469581231880369,5,1.2192980647087097,0.024426876537322784,0.050624603451730366,5,1.347194540500641,0.024426876537322784,0.05062174271201769
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.07338394437517438,0,0.07614716954612888
-1,0,0,0,0,0,0,0,0,21,-0.4182478019169399,0.5499871370773306,0.4949504037804644,0,0,0,0,38,0.5080702179356625,0,0.9243955897283591
-1,4,0.9548142850399017,0.02501337333869813,0.024426902786252924,4,0.8001353740692139,0.02501337333869813,0.024694858738904202,5,0.5855241656303406,0.025615605420110654,0.0506207891321111,5,0.7447573423385621,0.025615605420110654,0.05062364987182377,9,1.5969627565807767,0.05113822964000647,0.3449413189249029
